Year,Netflix,Amazon Prime,Disney+,Hulu
2019,18,,,
2016,7,,,
2020,7,,,
2001,7,,,
2018,18,,,
2018,13,,,
2020,13,,,
2017,13,,,
2018,16,,,
2020,18,,,
2019,18,,,
2017,18,,,
2019,18,,,
2017,18,,,
2004,al,,,
2019,18,,,
2020,18,,,
2014,16,,,
2004,18,,,
2015,7,,,
2019,18,,,
2018,18,,,
2019,13,,,
2019,18,,,
2006,18,,,
2015,16,,,
1991,18,,,
2019,18,,,
2012,18,,,
2020,13,,,
2019,7,,,
2020,18,,,
2016,18,,,
2020,18,,,
2017,18,,,
2017,,,,
2010,18,,,
2019,13,,,
2011,7,,,
2019,18,,,
2013,,,,
2020,18,,,
2020,18,,,
2020,18,,,
2005,al,,,
2001,al,,,
2020,16,,,
2019,18,,,
2018,16,,,
2020,18,,,
2018,18,,,
1998,18,,,
2018,13,,,
2019,13,,,
2018,18,,,
2002,18,,,
2009,13,,,
2016,,,,
2019,al,,,
1971,18,,,
2017,18,,,
2015,18,,,
2016,16,,,
2019,7,,,
2018,13,,,
2017,,,,
2003,al,,,
2006,18,,,
2016,16,,,
2017,18,,,
2006,13,,,
2015,18,,,
2013,18,,,
2009,18,,,
2020,13,,,
2016,13,,,
2018,18,,,
2019,18,,,
2007,18,,,
2004,13,,,
2010,13,,,13
2018,7,,,
1975,7,,,
2007,al,,,
2020,18,,,
2018,18,,,
2012,18,,,
2020,7,,,
2015,,,,
2014,18,,,
2017,18,,,
2019,18,,,
2017,,,,
1988,18,,,
2017,,,,
2017,18,,,
2020,18,,,
2019,16,,,
2018,18,,,
2018,18,,,
2007,13,,,
2018,18,,,
2018,13,,,
2013,18,,,
2019,18,,,
2020,al,,,
2013,13,,,
2017,7,,,7
2008,7,,,
2007,18,,,
2016,18,,,
1974,18,,,
2003,18,,,
2014,13,,,
2018,,,,
2020,13,,,
2004,13,13,,
2010,13,,,
2011,7,,,
1979,18,,,
2018,18,,,
2014,7,,,
2019,,,,
2010,,,,
2003,18,,,
2018,18,,,
2018,18,,,
2018,,,,
2016,18,,,
2017,18,,,
2016,,,,
2016,,,,
2018,18,,,
2020,7,,,
2017,18,,,
2002,18,,,
1997,18,,,
1990,16,,,
2021,18,,,
2013,18,,,
2019,,,,
2016,,,,
2016,18,,,
2018,18,,,
2016,18,,,
2017,16,,,
2009,al,,,
1990,13,,,
2016,18,,,
2017,,,,
2016,,,,
2017,7,,,
2017,7,,,
2018,18,,,
2018,18,,,
2008,13,13,,
2019,18,,,
2018,18,,,
2012,13,13,,
2019,,,,
2018,7,,,
2018,13,,,
2017,,,,
2018,,,,
2019,7,,,
2018,7,,,
2020,7,,,
2016,13,,,13
2007,13,,,
2017,18,,,
2011,13,,,13
2018,18,,,
2017,18,,,
2011,7,,,
2012,13,,,
2016,18,,,
2008,18,,,
2020,,,,
2011,7,,,
2019,18,,,
2018,,,,
2019,13,,,
2019,,,,
2019,18,,,
2003,18,18,,18
2002,13,13,,
2018,,,,
1984,7,,,
2018,18,,,
2000,18,,,
2019,18,,,
2019,,,,
2017,16,,,
2019,,,,
2016,13,,,
2019,7,,,
2016,18,,,
2017,18,,,
1993,13,,,
2006,13,,,13
2006,13,,,
2011,,,,
2013,,,,
2011,13,,,
2017,13,,,
1994,13,,,
2018,,,,
2014,18,,,
2013,,,,
1997,13,,,
2019,,,,
2010,13,,,
2019,,,,
2020,18,,,
2011,7,,,
2016,13,,,
2017,18,,,
2013,18,,,
2017,18,,,
2018,16,,,
2012,18,,,
2018,18,,,
2016,,,,
2008,13,,,
2012,18,,,
2004,18,,,
2010,7,,,
2018,16,,,
2011,18,,,18
2015,,,,
2019,,,,
2020,13,,,
2015,13,,,
2017,18,,,
2010,13,,,
2019,16,,,
2007,7,,,
2019,,,,
2012,,,,
2019,,,,
2001,13,,,
2019,18,,,
1997,18,,,
2005,13,,,
1979,18,,,
2018,7,,,
2018,16,,,
2017,18,,,
2009,13,,,13
2016,,,,
2017,18,,,
2008,13,,,
2019,13,,,
2016,,,,
2018,18,,,
1988,18,,,
2018,13,,,
2016,18,,,
2017,18,,,
1999,13,,,
2003,18,,,
2016,,,,
2004,18,,,
2019,13,,,
2019,13,,,
2007,,,,
2019,18,,,
2017,,,,
2017,,,,
2015,18,,,
2018,7,,7,
2016,13,,,
2013,18,,,
2006,13,,,
2009,13,,,
2009,13,,,
1976,7,,,
2008,18,,,
2016,18,,,
2011,13,,,
2019,18,,,
2020,13,,,
2019,,,,
2016,,,,
1964,al,,,
2019,18,,,
2018,18,,,
2021,13,,,
2001,13,,,
2015,18,,,
2016,,,,
2018,16,,,
2016,,,,
2014,,,,
2018,18,,,
2013,13,,,
2017,16,,,
1997,18,,,
2017,18,,,
1998,13,,,
2019,18,,,
2015,18,,,
2004,7,,,
2019,18,,,
2018,18,,,
2021,18,,,
2012,7,,,
2017,18,,,
2016,13,,,
2015,18,,,
2010,18,18,,
2012,18,,,
2017,,,,
2021,18,,,
2008,18,,,
2018,16,,,
2017,18,,,
2009,13,,,13
2012,18,,,18
2013,13,,,
2018,18,,,
2018,18,,,
2021,18,,,
2013,13,,,
2017,,,,
2009,18,,,
2015,7,7,,
2008,18,18,,18
2018,16,,,
2008,13,,,
2010,13,,,
2009,18,,,
2009,13,,,
2008,7,,,
2011,18,18,,
2017,,,,
2017,18,,,
2012,18,,,
2019,13,,,
2018,18,,,
2020,18,,,
2015,18,,,
2018,18,,,
2020,18,,,
2016,18,,,
2017,18,,,
2016,18,,,
2020,18,,,
2019,18,,,
2010,18,,,
2019,18,,,
2010,18,,,
2018,18,,,
2011,7,,,
2002,13,,,
2018,16,,,
2016,18,,,
2020,18,,,
2001,al,,,
1999,18,18,,
2019,18,,,
2015,13,,,
2012,18,,,
2001,18,,,
2021,7,,,
2017,18,,,
2019,13,,,
2020,,,,
2015,18,,,
2018,16,,,
2020,al,,,
2019,7,,,
2007,18,,,18
2019,18,,,
2017,7,,,
2017,,,,
2021,7,,,
2020,18,,,
2018,,,,
2009,7,,,
2008,13,13,,
2015,13,,,
2019,18,,,
2012,7,,,
2020,,,,
2021,18,,,
2016,7,,,
2021,18,,,
2017,18,,,
2017,18,,,18
2016,13,,,
2016,,,,
2013,18,,,
2005,18,,,
2002,18,,,
2015,18,,,
2018,,,,
2019,,,,
2016,,,,
2013,13,,,
2019,18,18,,
2006,13,,,
2000,18,,,
2014,,,,
2017,18,,,
2008,18,,,
2014,7,,,
2010,18,18,,
2017,18,,,
2017,18,,,
2004,18,18,,
2017,,,,
2007,13,13,,
2016,7,,,
2018,13,,,
2012,7,,,7
2017,18,,,
2018,18,,,
2006,18,,,
2002,13,,,
2004,13,,,
2019,16,,,
2019,,,,
2014,,,,
2010,13,,,
2017,18,,,
2013,18,,,
1998,al,,,
2014,,,,
2016,18,,,
2008,,,,
2013,16,,,
2013,13,,,
2017,7,,,
2018,18,,,
2013,7,,,
2013,7,,,
2009,13,,,
2013,18,,,
2015,18,,,
2019,18,,,
2016,13,,,
2021,13,,,
2006,7,,,
2019,18,,,
2008,18,,,
2020,18,,,
2017,7,7,,
2020,18,,,
2015,18,,,
2018,18,,,
1993,13,,,
2010,13,,,
2017,16,,,
2020,18,,,
2004,18,,,
2007,7,7,,
2012,13,,,
2017,7,,,
2018,,,,
1997,13,,,
2007,7,,,
2015,18,,,
2017,13,,,
2017,18,,,
2019,13,,,
2014,18,,,
2013,18,,,
2018,,,,
2019,18,,,
2012,18,,,
2015,13,,,
2016,13,,,
2010,18,,,18
2006,13,,,
2019,18,,,
2018,18,,,
2011,7,,,
2017,18,,,
2018,13,,,
2017,13,,,
2018,18,,,
2019,18,,,
2019,,,,
2019,13,,,
2020,7,,,
2019,16,,,
2019,18,,,
2017,,,,
2020,18,,,
2014,7,,,
2015,13,,,
2006,13,,,
2020,13,,,
2016,18,,,
1954,,,,
2020,18,,,
2018,13,,,
2019,,,,
2019,,,,
2020,18,,,
2010,18,18,,
2019,13,,,
2017,18,18,,
2017,18,,,
1979,7,,,
2008,13,,,
2021,18,,,
2005,7,,,
2019,7,,,
2014,7,,,
2019,,,,
2018,18,,,
1999,18,,,
2020,18,,,
2012,al,,,
2016,,,,
2020,,,,
2009,13,,,
1982,18,,,
2013,18,,,
1986,7,,,
2019,,,,
1992,18,,,
2017,13,,,
2013,13,,,
2020,18,,,
2011,13,,,
2018,13,13,,
2017,18,,,
2016,18,,,
2008,18,,,
2020,,,,
2018,al,,,
2013,7,7,,
1994,7,,,
2005,13,13,,
2016,7,,,
2017,18,,,
2019,18,,,
2014,13,13,,
2017,13,,,
2018,,,,
2018,13,,,13
2019,,,,
1999,7,,,
2016,,,,
2004,13,,,
2016,13,,,
2014,13,,,
2010,13,,,
2016,18,,,
2004,13,,,
2008,7,,,
2012,16,,,
2018,16,,,
2005,13,,,
2019,16,,,
2001,16,16,,
2018,13,,,
2020,18,,,
2015,,,,
2013,18,,,
2021,,,,
2011,18,,,
2018,16,,,
2009,18,18,,
2021,18,,,
2007,,,,
2020,18,,,
2018,7,,,
2011,13,,,
2017,,,,
2017,,,,
2018,18,,,
2016,18,,,
2018,13,,,
2018,18,,,
2014,13,,,
2017,18,,,
2021,7,,,
2018,13,,,
2016,13,13,,
1995,13,,,
2014,18,18,,
2020,18,,,
2018,13,,,
2019,,,,
2018,,,,
2015,13,,,
2018,13,,,
2017,18,,,
2017,,,,
2014,18,,,
2018,,,,
2020,7,,,
2017,16,,,
2017,18,,,
2019,18,,,
2006,18,,,
2021,13,,,
2011,18,,,
2018,,,,
2010,13,13,,
2010,18,,,
2016,,,,
2016,13,,,
2019,,,,
2006,7,,,
2009,18,,,
2009,13,,,
2020,18,,,
2012,13,,,13
2020,13,,,
2018,18,,,
1987,18,,,
2013,18,,,
2017,13,,,
2016,13,,,
2018,18,,,
2019,,,,
2017,13,,,
2017,18,,,
2020,13,,,
2010,13,,,
2015,,,,
2019,18,,,
2018,13,,,
2004,al,,,
2020,18,,,
2007,13,13,,
2018,,,,
2015,7,,,
2018,18,,,
2020,18,,,
1988,16,,,16
2009,18,,,
2020,16,,,
2020,,,,
2019,18,,,
2017,18,,,
2016,13,,,
2018,7,,,
1990,,,,
2018,18,,,
2018,18,,,
2011,18,18,,
2004,18,,,
2021,,,,
2014,18,,,
2012,18,,,
2020,18,,,
1984,7,,,
2017,18,,,
1982,,,,
2021,,,,
2018,18,,,
2021,18,,,
2014,18,,,
2021,13,,,
2020,18,,,
2021,18,,,
2018,18,,,
2013,13,,,
2017,13,,,
2020,13,,,
2018,,,,
2009,13,,,
2016,18,,,
2016,18,,,
2018,18,,,
2014,18,,,
2021,13,,,
2020,,,,
2016,13,,,
2018,7,,,
1990,18,,,
2006,13,13,,
2012,al,,,
2018,18,,,
2014,13,,,
2012,13,,,
2019,7,,,
2021,18,,,
2012,18,,,
2008,13,,,
2013,13,,,
2014,13,,,
2014,13,,,
2021,18,,,
1994,7,,,
2020,,,,
2021,7,,,
2015,,,,
2018,18,,,
2019,,,,
2017,18,,,
2020,13,,,
2019,16,,,
2012,7,,,
2019,,,,
2015,13,,,
2005,18,,,
2020,18,,,
2019,18,,,
2021,18,,,
2017,18,,,
2017,,,,
2010,18,,,
2017,18,,,
1998,18,,,
2011,7,,,
2014,7,,7,
2017,18,,,
2013,13,,,
2017,,,,
2013,16,,,
1998,al,,,
2017,18,,,
2016,,,,
2016,13,,,
2001,,,,
2021,18,,,
2019,13,,,
2014,18,,,
2018,18,,,18
2018,18,,,
2016,18,,,
2004,18,,,
2017,18,,,
2015,18,,,
2016,,,,
2018,,,,
2021,7,,,
2021,18,,,
2018,16,,,
2020,,,,
2012,18,,,
2019,18,,,
2019,18,,,
2012,7,,,
2021,18,,,
2007,18,,,
1997,13,,,
2008,13,,,
2020,18,,,
2013,18,,,
2020,18,,,
2021,18,,,
2018,13,,,
2019,13,,,
2016,18,,,
2019,18,,,
2018,7,,,
2008,13,,,
2018,18,,,
2018,18,,,
2003,7,,,
1990,13,,,
2010,18,,,
2016,18,,,
2018,18,,,
2020,,,,
2011,13,13,,
2014,,,,
2019,18,,,
2014,,,,
2013,18,,,
2015,18,,,
2019,13,,,
2010,13,,,
2018,al,,,
2018,13,,,
2017,16,,,
1989,7,,,
2021,18,,,
2013,,,,
1998,18,,,
2016,18,,,18
2017,,,,
2019,18,,,
2017,16,,,
2016,,,,
2017,16,,,
2018,,,,
2019,18,,,
2018,,,,
1995,13,,,
2020,13,,,
2007,13,,,
2013,18,,,
2016,7,,,
2016,,,,
2017,,,,
2017,,,,
2018,,,,
2019,18,18,,
2020,18,,,
2018,,,,
2006,13,,,
2015,18,,,
1993,7,,,
2017,,,,
2010,,,,
2019,,,,
2013,18,,,
2021,18,,,
2018,,,,
2020,18,,,
2018,18,,,
2021,,,,
2021,7,,,
2019,18,,,
1980,18,18,,
2017,18,,,
2012,7,,,
2020,16,,,
2017,16,,,
2015,18,,,
2004,7,,,
2019,18,,,
2009,13,13,,13
2018,,,,
2002,18,18,,
1998,13,,,
2021,13,,,
2016,,,,
2019,18,,,
2021,,,,
2004,7,7,,
2016,,,,
2015,18,,,
2020,,,,
2019,16,,,
1998,13,,,
2015,18,,,
2014,7,,,
2017,,,,
2018,18,,,
2009,13,,,
2019,,,,
2018,al,,,
1992,18,,,
2020,7,,,
2015,18,,,
2011,,,,
2018,18,,,
2018,18,,,
2016,13,,,
2017,18,,,
2018,13,,,
2016,,,,
1998,13,,,
2007,7,,,
2018,13,,,
2011,18,,,
2018,18,,,
2020,18,,,
2013,,,,
2018,18,,,
2005,13,,,
2019,,,,
1996,13,,,
2018,,,,
2018,16,,,
2020,18,,,
2019,18,,,
2004,16,,,
2016,,,,
1997,7,,,
2001,al,,,
2019,,,,
2020,,,,
2008,13,,,
2020,13,,,
2014,18,,,
2018,,,,
2021,,,,
2016,,,,
2017,,,,
2017,18,,,
2020,16,,,
2020,18,,,
2016,18,,,
2018,,,,
2017,,,,
2018,18,,,
2018,18,,,
2003,18,,,
2009,7,,,
2019,18,,,
2013,7,,,
2011,,,,
2008,,,,
2019,13,,,
2019,,,,
2016,,,,
1995,18,18,,
2015,7,,,
2016,13,,,
2016,,,,
2021,18,,,
2017,,,,
2018,18,,,
2009,,,,
2011,13,,,
2019,18,,,
2019,,,,
1979,18,,,
2007,7,,,
2009,13,,,
2010,7,,,
2020,,,,
2011,al,,,
2014,7,,,
1998,al,,,
2020,7,,,
2014,7,,,
1997,13,,,
2016,18,,,
2014,,,,
2019,,,,
2017,18,,,
2018,13,,,
2017,18,,,
2019,7,,,
2015,,,,
2018,,,,
2017,16,,,
2009,13,,,
2017,16,,,
2008,,,,
2012,7,,,
2015,18,,,
2005,7,7,,
2011,13,,,
2016,18,,,
2019,18,,,
2018,18,,,
1998,18,,,
2018,7,,,
2001,13,,,
2014,18,,,
2009,,,,
1992,,,,
2018,18,,,
2020,al,,,
2013,13,,,
2008,,,,
2018,18,,,
2018,,,,
2017,,,,
1991,18,,,
2000,al,,,
2008,16,,,
2015,18,,,
2011,,,,
2018,,,,
2021,18,,,
2021,18,,,
2019,13,,,
2020,13,,,
2011,13,,,
2021,,,,
2020,18,,,
2021,18,,,
2013,13,,,
2019,18,,,
2019,,,,
2017,16,,,
2018,,,,
2016,,,,
2017,,,,
2018,,,,
2014,13,,,
2019,18,,,
2011,13,,,
2016,,,,
2016,7,,,
2013,,,,
2019,,,,
2019,7,,,
2021,,,,
2018,7,,,
2016,,,,
2015,13,,,
1997,18,,,
2010,18,,,
2019,7,,,
1989,7,,,7
2015,18,,,
2012,13,,,
2020,,,,
2021,7,,,
2016,13,,,
2019,,,,
1993,,,,
2009,13,,,
2019,18,,,
2012,,,,
2020,al,,,
2009,7,,,
2020,18,,,
2018,18,,,
2000,al,,,
2020,16,,,
2017,,,,
2017,13,,,
2020,13,,,
2019,18,,,
2021,13,,,
2017,18,,,
2017,,,,
2020,18,,,
2020,al,,,
2017,7,,,
2019,13,,,
2018,18,,,
2017,,,,
1999,18,,,
2011,7,,,
2019,18,,,
2016,18,,,
2017,18,,,
2013,13,,,
2020,18,,,
2004,7,,,
2017,,,,
2017,16,,,
2018,18,,,
2017,,,,
2021,,,,
2020,18,,,
2010,7,,,
2006,18,,,
2015,13,,,
2019,18,,,
2018,18,,,
2018,18,,,
2019,,,,
2017,,,,
2019,,,,
2020,13,,,
2020,18,,,
2009,18,,,
2020,16,,,
2001,13,,,
2013,13,,,
2014,,,,
2017,,,,
2015,,,,
2017,7,,,
2021,7,,,
2020,18,,,
2016,18,,,
2019,7,,,
2018,,,,
2021,18,,,
1958,,,,
1979,,,,
2015,18,,,
2019,18,,,
2016,,,,
2019,,,,
2019,16,,,
2006,13,13,,
2005,7,,,
2018,,,,
2013,,,,
2019,18,,,
2020,16,,,
2019,18,,,
2017,,,,
2018,18,,,
2020,,,,
2018,7,,,
2019,13,,,
2004,18,,,
2018,18,,,
2020,16,,,
2018,,,,
2014,al,,,
2006,18,,,
2020,16,,,
2017,18,,,
2021,16,,,
2020,18,,,
2014,18,,,
2017,13,,,
2019,,,,
2010,7,,,
2021,18,,,
2018,18,,,
2012,18,,,
2017,18,,,
2020,18,,,
2016,,,,
2020,,,,
2006,13,13,,
2010,7,,,
2021,18,,,
2010,,,,
2009,13,,,
2019,,,,
2018,18,,,
1989,13,,,
2016,13,,,
2016,,,,
2017,18,,,
2006,16,,,
2017,,,,
2002,,,,
2018,18,,,
2019,,,,
2020,18,,,
2021,18,18,,
2009,13,,,
2014,13,,,
2016,,,,
2005,16,,,
2013,13,,,
1996,18,,,18
2016,16,,,
2018,18,,,
2020,,,,
2021,18,,,
2020,18,,,
2019,18,,,
2020,,,,
2021,7,,,
2018,,,,
2014,13,,,
2021,18,,,
2012,al,,,
2021,18,,,
2010,,,,
2017,,,,
2018,18,,,
2012,al,,,
2018,16,,,
2021,18,,,
2018,18,,,
2018,,,,
2013,13,,,
2014,18,,,
2015,13,,,
2020,18,,,
2016,,,,
2008,,,,
2015,,,,
2016,,,,
2020,18,,,
2019,18,,,
2019,7,,,
2014,,,,
2019,13,,,
2020,13,,,
2006,13,,,
2019,7,,,
2020,13,,,
2018,,,,
2016,18,,,
2016,,,,
2020,7,,,
2012,,,,
2020,,,,
2018,,,,
2008,18,,,
2018,7,,,
2016,,,,
2020,18,,,
2017,,,,
2020,13,,,
2019,7,,,
2015,7,,,
2007,,,,
2020,,,,
2005,13,,,
2019,13,,,
2019,18,,,
2018,18,,,
2012,,,,
2014,16,,,
2018,,,,
2019,18,,,
2014,,,,
2018,18,,,
2009,13,,,
2013,,,,
2006,7,,,
2021,,,,
2019,7,,,
2021,18,,,
2008,,,,
2019,18,,,
2020,,,,
2011,18,,,
2013,,,,
2017,18,,,
2015,18,,,
2020,18,,,
2017,,,,
2020,16,,,
2018,18,,,
2020,,,,
2003,13,,,
2018,13,,,
2016,18,,,
2021,,,,
2018,7,,,
2001,18,,,
2011,18,,,
2018,18,,,
2021,al,,,
2020,18,,,
2002,7,7,,
2019,18,,,
1994,al,,,
2018,18,,,
2020,16,,,
2017,18,,,
2017,,,,
2019,,,,
2015,,,,
2016,,,,
2018,18,,,
2012,,,,
2019,,,,
2020,18,,,
2006,13,,,
2019,13,,,
2018,7,,,
2017,16,,,
2017,,,,
2016,18,,,
2018,,,,
2018,,,,
2017,18,,,
2020,,,,
2017,18,,,
2018,7,7,,
2016,13,,,
2011,18,,,
1989,18,,,
2017,13,,,
2007,,,,
2018,18,,,
1994,7,,,
2012,al,,,
2017,,,,
2010,16,,,
2015,,,,
2016,18,18,,
2021,18,,,
2020,,,,
2021,16,,,
2014,18,,,
2016,7,,,
2016,,,,
2009,18,,,
2019,,,,
2016,13,,,
2020,13,,,
2019,7,,,
2018,,,,
2010,7,,,
2020,,,,
1994,,,,
2020,13,,,
2019,18,,,
2020,7,,,
2014,13,,,
2006,18,,,
2017,18,,,
2015,18,,,
2020,,,,
2016,13,,,
2014,,,,
2020,13,,,
2015,,,,
2020,18,,,
2020,,,,
2018,,,,
2017,18,,,
2019,,,,
2017,,,,
2015,,,,
2015,13,,,
2017,18,,,
2019,18,,,
2003,,,,
1998,18,,,
2017,,,,
2020,18,,,
2017,,,,
2017,18,,,
2018,18,,,
2019,,,,
2017,18,,,
2017,,,,
2017,,,,
2020,13,,,
2015,,,,
2007,7,,,
2018,18,,,
2011,16,,,
2019,18,,,
2018,,,,
2018,18,,,
2013,,,,
2019,18,,,
2001,18,,,
2015,,,,
2015,,,,
2019,,,,
2021,,,,
2014,18,,,
2021,al,,,
2021,16,,,
2004,,,,
2021,18,,,
2011,13,,,
2006,,,,
2019,,,,
2014,7,,,
2013,13,,,
