Year,Netflix,Amazon Prime,Disney+,Hulu
2019,7.8,,,
2016,8.4,,,
2020,9.0,,,
2001,8.1,,,
2018,7.7,,,
2018,7.1,,,
2020,7.6,,,
2017,7.3,,,
2018,7.3,,,
2020,7.8,,,
2019,8.2,,,
2017,7.7,,,
2019,7.3,,,
2017,7.4,,,
2004,8.2,,,
2019,7.2,,,
2020,7.4,,,
2014,8.2,,,
2004,8.5,,,
2015,8.2,,,
2019,7.2,,,
2018,8.0,,,
2019,6.7,,,
2019,7.6,,,
2006,8.5,,,
2015,8.4,,,
1991,8.5,,,
2019,7.6,,,
2012,8.4,,,
2020,6.9,,,
2019,7.6,,,
2020,7.1,,,
2016,7.3,,,
2020,7.1,,,
2017,6.5,,,
2017,7.6,,,
2010,8.2,,,
2019,6.8,,,
2011,8.5,,,
2019,8.2,,,
2013,8.0,,,
2020,8.3,,,
2020,7.7,,,
2020,6.7,,,
2005,8.5,,,
2001,7.4,,,
2020,6.5,,,
2019,8.4,,,
2018,7.4,,,
2020,7.9,,,
2018,7.0,,,
1998,8.1,,,
2018,7.9,,,
2019,7.4,,,
2018,6.6,,,
2002,8.5,,,
2009,8.4,,,
2016,7.5,,,
2019,6.8,,,
1971,8.3,,,
2017,6.9,,,
2015,7.8,,,
2016,7.5,,,
2019,7.5,,,
2018,7.5,,,
2017,8.1,,,
2003,7.9,,,
2006,8.2,,,
2016,7.3,,,
2017,6.9,,,
2006,8.0,,,
2015,7.8,,,
2013,8.1,,,
2009,7.6,,,
2020,6.5,,,
2016,7.7,,,
2018,6.2,,,
2019,8.5,,,
2007,8.2,,,
2004,8.1,,,
2010,7.7,,,7.7
2018,7.0,,,
1975,8.2,,,
2007,7.8,,,
2020,7.0,,,
2018,6.8,,,
2012,7.7,,,
2020,6.4,,,
2015,7.6,,,
2014,7.8,,,
2017,6.3,,,
2019,7.2,,,
2017,6.3,,,
1988,8.0,,,
2017,8.3,,,
2017,6.3,,,
2020,7.1,,,
2019,7.2,,,
2018,6.8,,,
2018,7.6,,,
2007,7.7,,,
2018,7.5,,,
2018,6.6,,,
2013,7.5,,,
2019,7.9,,,
2020,8.1,,,
2013,7.8,,,
2017,7.6,,,7.6
2008,7.6,,,
2007,7.6,,,
2016,8.1,,,
1974,8.2,,,
2003,7.9,,,
2014,7.7,,,
2018,8.5,,,
2020,6.8,,,
2004,7.4,7.4,,
2010,7.5,,,
2011,7.6,,,
1979,8.1,,,
2018,6.9,,,
2014,7.8,,,
2019,7.2,,,
2010,7.4,,,
2003,7.6,,,
2018,7.4,,,
2018,5.9,,,
2018,7.4,,,
2016,7.9,,,
2017,6.2,,,
2016,7.2,,,
2016,7.2,,,
2018,8.0,,,
2020,6.7,,,
2017,7.4,,,
2002,7.7,,,
1997,7.9,,,
1990,7.5,,,
2021,8.8,,,
2013,7.1,,,
2019,7.1,,,
2016,6.7,,,
2016,7.3,,,
2018,7.4,,,
2016,7.5,,,
2017,7.3,,,
2009,8.1,,,
1990,8.0,,,
2016,7.8,,,
2017,7.5,,,
2016,7.4,,,
2017,7.3,,,
2017,7.2,,,
2018,8.3,,,
2018,7.4,,,
2008,7.6,7.6,,
2019,7.4,,,
2018,6.7,,,
2012,7.6,7.6,,
2019,7.6,,,
2018,6.6,,,
2018,7.6,,,
2017,7.4,,,
2018,6.6,,,
2019,7.8,,,
2018,7.1,,,
2020,6.4,,,
2016,7.9,,,7.9
2007,7.6,,,
2017,6.4,,,
2011,7.9,,,7.9
2018,7.3,,,
2017,7.0,,,
2011,7.5,,,
2012,7.6,,,
2016,7.1,,,
2008,8.0,,,
2020,7.4,,,
2011,7.2,,,
2019,7.0,,,
2018,8.2,,,
2019,6.7,,,
2019,7.3,,,
2019,7.3,,,
2003,7.0,7.0,,7.0
2002,7.1,7.1,,
2018,5.6,,,
1984,7.3,,,
2018,7.6,,,
2000,7.2,,,
2019,5.6,,,
2019,7.5,,,
2017,7.0,,,
2019,7.7,,,
2016,8.2,,,
2019,8.2,,,
2016,7.3,,,
2017,7.7,,,
1993,7.7,,,
2006,6.6,,,6.6
2006,7.5,,,
2011,7.1,,,
2013,7.6,,,
2011,7.0,,,
2017,7.2,,,
1994,7.1,,,
2018,7.4,,,
2014,7.3,,,
2013,7.7,,,
1997,7.0,,,
2019,7.4,,,
2010,6.8,,,
2019,7.1,,,
2020,6.7,,,
2011,7.2,,,
2016,6.2,,,
2017,7.4,,,
2013,7.5,,,
2017,7.6,,,
2018,6.5,,,
2012,7.3,,,
2018,6.4,,,
2016,7.2,,,
2008,6.6,,,
2012,7.2,,,
2004,7.3,,,
2010,7.7,,,
2018,7.1,,,
2011,6.5,,,6.5
2015,7.4,,,
2019,7.1,,,
2020,6.6,,,
2015,8.1,,,
2017,7.4,,,
2010,7.3,,,
2019,8.2,,,
2007,8.4,,,
2019,7.3,,,
2012,7.2,,,
2019,7.1,,,
2001,7.6,,,
2019,6.2,,,
1997,8.1,,,
2005,7.3,,,
1979,6.9,,,
2018,7.5,,,
2018,6.9,,,
2017,7.0,,,
2009,6.7,,,6.7
2016,6.9,,,
2017,6.3,,,
2008,6.8,,,
2019,6.0,,,
2016,8.1,,,
2018,6.8,,,
1988,7.5,,,
2018,6.6,,,
2016,8.2,,,
2017,5.8,,,
1999,6.6,,,
2003,7.5,,,
2016,6.5,,,
2004,6.7,,,
2019,7.6,,,
2019,6.0,,,
2007,7.2,,,
2019,6.6,,,
2017,7.2,,,
2017,7.5,,,
2015,7.2,,,
2018,7.0,,7.0,
2016,7.5,,,
2013,6.5,,,
2006,6.6,,,
2009,7.1,,,
2009,7.1,,,
1976,7.8,,,
2008,7.2,,,
2016,7.5,,,
2011,6.8,,,
2019,6.1,,,
2020,6.3,,,
2019,7.3,,,
2016,7.7,,,
1964,7.8,,,
2019,6.7,,,
2018,6.8,,,
2021,7.1,,,
2001,6.3,,,
2015,6.9,,,
2016,7.1,,,
2018,6.4,,,
2016,7.5,,,
2014,6.7,,,
2018,7.1,,,
2013,8.2,,,
2017,7.1,,,
1997,6.5,,,
2017,7.3,,,
1998,7.0,,,
2019,6.4,,,
2015,6.5,,,
2004,6.8,,,
2019,6.6,,,
2018,6.6,,,
2021,5.8,,,
2012,6.8,,,
2017,7.9,,,
2016,6.8,,,
2015,7.1,,,
2010,6.8,6.8,,
2012,8.3,,,
