Year,Netflix,Amazon Prime,Disney+,Hulu
2019,98,,,
2016,97,,,
2020,95,,,
2001,94,,,
2018,94,,,
2018,94,,,
2020,93,,,
2017,92,,,
2018,92,,,
2020,92,,,
2019,92,,,
2017,92,,,
2019,92,,,
2017,91,,,
2004,91,,,
2019,91,,,
2020,90,,,
2014,90,,,
2004,90,,,
2015,90,,,
2019,90,,,
2018,89,,,
2019,89,,,
2019,89,,,
2006,89,,,
2015,89,,,
1991,89,,,
2019,89,,,
2012,89,,,
2020,89,,,
2019,89,,,
2020,89,,,
2016,89,,,
2020,88,,,
2017,88,,,
2017,88,,,
2010,88,,,
2019,88,,,
2011,88,,,
2019,87,,,
2013,87,,,
2020,87,,,
2020,87,,,
2020,87,,,
2005,87,,,
2001,87,,,
2020,87,,,
2019,87,,,
2018,87,,,
2020,87,,,
2018,87,,,
1998,87,,,
2018,87,,,
2019,86,,,
2018,86,,,
2002,86,,,
2009,86,,,
2016,86,,,
2019,86,,,
1971,86,,,
2017,86,,,
2015,86,,,
2016,86,,,
2019,86,,,
2018,85,,,
2017,85,,,
2003,85,,,
2006,85,,,
2016,85,,,
2017,85,,,
2006,85,,,
2015,85,,,
2013,84,,,
2009,84,,,
2020,84,,,
2016,84,,,
2018,84,,,
2019,84,,,
2007,84,,,
2004,84,,,
2010,84,,,84
2018,84,,,
1975,84,,,
2007,84,,,
2020,84,,,
2018,84,,,
2012,84,,,
2020,84,,,
2015,84,,,
2014,84,,,
2017,84,,,
2019,84,,,
2017,84,,,
1988,83,,,
2017,83,,,
2017,83,,,
2020,83,,,
2019,83,,,
2018,83,,,
2018,83,,,
2007,83,,,
2018,83,,,
2018,83,,,
2013,83,,,
2019,83,,,
2020,83,,,
2013,83,,,
2017,83,,,83
2008,83,,,
2007,83,,,
2016,83,,,
1974,82,,,
2003,82,,,
2014,82,,,
2018,82,,,
2020,82,,,
2004,82,82,,
2010,82,,,
2011,82,,,
1979,82,,,
2018,82,,,
2014,82,,,
2019,82,,,
2010,82,,,
2003,82,,,
2018,82,,,
2018,82,,,
2018,82,,,
2016,82,,,
2017,81,,,
2016,81,,,
2016,81,,,
2018,81,,,
2020,81,,,
2017,81,,,
2002,81,,,
1997,81,,,
1990,81,,,
2021,81,,,
2013,81,,,
2019,81,,,
2016,81,,,
2016,81,,,
2018,81,,,
2016,81,,,
2017,81,,,
2009,81,,,
1990,80,,,
2016,80,,,
2017,80,,,
2016,80,,,
2017,80,,,
2017,80,,,
2018,80,,,
2018,80,,,
2008,80,80,,
2019,80,,,
2018,80,,,
2012,80,80,,
2019,80,,,
2018,80,,,
2018,80,,,
2017,80,,,
2018,80,,,
2019,80,,,
2018,80,,,
2020,80,,,
2016,80,,,80
2007,79,,,
2017,79,,,
2011,79,,,79
2018,79,,,
2017,79,,,
2011,79,,,
2012,79,,,
2016,79,,,
2008,79,,,
2020,79,,,
2011,79,,,
2019,79,,,
2018,79,,,
2019,79,,,
2019,79,,,
2019,79,,,
2003,79,79,,79
2002,79,79,,
2018,79,,,
1984,79,,,
2018,79,,,
2000,79,,,
2019,79,,,
2019,79,,,
2017,79,,,
2019,78,,,
2016,78,,,
2019,78,,,
2016,78,,,
2017,78,,,
1993,78,,,
2006,78,,,78
2006,78,,,
2011,78,,,
2013,78,,,
2011,78,,,
2017,78,,,
1994,78,,,
2018,78,,,
2014,78,,,
2013,78,,,
1997,78,,,
2019,78,,,
2010,78,,,
2019,78,,,
2020,78,,,
2011,78,,,
2016,78,,,
2017,78,,,
2013,77,,,
2017,77,,,
2018,77,,,
2012,77,,,
2018,77,,,
2016,77,,,
2008,77,,,
2012,77,,,
2004,77,,,
2010,77,,,
2018,77,,,
2011,77,,,77
2015,77,,,
2019,77,,,
2020,77,,,
2015,77,,,
2017,77,,,
2010,77,,,
2019,77,,,
2007,77,,,
2019,77,,,
2012,77,,,
2019,77,,,
2001,77,,,
2019,77,,,
1997,77,,,
2005,76,,,
1979,76,,,
2018,76,,,
